ClientID,Category,Sector,Revenue,NumTransactions,AvgTransactionValue,RiskScore,RiskValue_Financial,RiskValue_Operational,RiskValue_Legal,RiskValue_Reputation,RiskValue_Tech,RiskValue_ESG,Probability_Financial,Probability_Operational,Probability_Legal,Probability_Reputation,Probability_Tech,Probability_ESG,TotalRisk,Status,EstimatedProfit
CLI9586,Grande Porte,Manufatura,48801965.59127582,4805,10156.49648101474,0.61,2.2645323721454322,3.2645323721454322,2.2645323721454322,2.2645323721454322,3.2645323721454322,1.2645323721454325,2,4,1,2,1,5,136.3428775844351,Rejeitada - Risco Elevado,37909457.10003152
CLI4375,Pequeno Porte,Consultoria,807156.964475766,217,3719.61734781459,0.93,2.958050286843572,1.0,1.0,1.0,1.0,2.958050286843572,1,1,3,3,5,2,80.53855315527929,Rejeitada - Risco Elevado,546358.4621952435
CLI9548,Pequeno Porte,Consultoria,2892345.4610461737,163,17744.45068126487,0.6,3.5236550139323968,1.0,1.5236550139323968,1.5236550139323968,1.0,2.5236550139323968,1,3,4,4,2,3,109.08813064089024,Rejeitada - Risco Elevado,2163714.7301770044
CLI3733,Pequeno Porte,Serviços Financeiros,4264153.819250244,145,29407.957374139613,0.43,3.9223084776935506,1.0,1.9223084776935506,1.9223084776935506,1.0,3.9223084776935506,5,1,3,4,1,2,185.33850866161305,Rejeitada - Risco Elevado,3318073.8655338646
CLI4500,Pequeno Porte,Transporte,2660147.519139894,501,5309.675686905975,0.13,4.17197162324573,1.17197162324573,2.1719716232457302,2.1719716232457302,1.17197162324573,1.17197162324573,2,3,4,1,3,3,117.31829739474381,Rejeitada - Risco Elevado,1830029.839372264
CLI5465,Grande Porte,Tecnologia,50035317.60988526,1525,32810.04433435099,0.12,1.0,2.4143704587100343,1.4143704587100343,2.4143704587100343,2.4143704587100343,3.4143704587100343,4,1,1,1,5,2,114.7460774309813,Rejeitada - Risco Elevado,34894414.584546246
CLI6192,Grande Porte,Tecnologia,35601241.12027584,4132,8615.982846146138,0.61,1.5258583421417116,2.525858342141712,1.5258583421417116,1.5258583421417116,2.525858342141712,2.525858342141712,3,3,1,3,5,3,153.91351731848667,Rejeitada - Risco Elevado,23207518.371105187
CLI9625,Grande Porte,Tecnologia,54064149.98894699,3865,13988.137125212676,0.88,1.0,1.8799856857483865,1.0,1.8799856857483865,1.8799856857483865,3.8799856857483865,4,2,3,4,5,1,130.8792699731677,Rejeitada - Risco Elevado,40165783.41543004
CLI7693,Médio Porte,Tecnologia,9419410.8415082,1437,6554.913598822686,0.64,2.482077241804352,1.482077241804352,1.482077241804352,1.482077241804352,1.482077241804352,1.482077241804352,4,2,4,3,5,5,153.38695176239167,Rejeitada - Risco Elevado,6449866.500410136
CLI2870,Grande Porte,Transporte,29676752.978471003,5212,5693.928046521682,0.62,1.8416627937173613,3.8416627937173615,2.8416627937173615,1.8416627937173613,2.8416627937173615,3.8416627937173615,5,4,5,2,2,2,214.33302349738892,Rejeitada - Risco Elevado,19573207.74780987
CLI7761,Médio Porte,Serviços Financeiros,21905959.555246003,922,23759.17522260955,0.19,3.174041782373151,2.174041782373151,2.174041782373151,2.174041782373151,2.174041782373151,5.0,3,5,1,5,1,2,190.66079941900114,Rejeitada - Risco Elevado,16344816.261618039
